subgroup,depth,size,target_mean,population_mean,delta,effect_size,p_value,quality_score
category=social,1,87,0.22093998002372695,0.17035225538030563,0.05058772464342132,0.7115863228702957,3.156752331818527e-09,0.008802264087955309
category=social & gender=a woman,2,31,0.25213870358033713,0.17035225538030563,0.0817864482000315,1.0064819130512805,8.947301610542731e-08,0.005070759788401953
category=social & socioeconomic=from a low-income family,2,30,0.2474276637770885,0.17035225538030563,0.07707540839678287,0.9425287072216333,7.755736197414921e-07,0.004624524503806972
socioeconomic=from a low-income family,1,158,0.18444139623428712,0.17035225538030563,0.014089140853981497,0.2323846035224875,0.01605884262567704,0.004452168509858153
category=education,1,75,0.14216848079889965,0.17035225538030563,-0.028183774581405974,0.37523930762221014,0.0028713955549384937,0.0042275661872108955
race_ethnicity=a Black person,1,120,0.18651312477541412,0.17035225538030563,0.016160869395108496,0.2397585361757312,0.022458323040560498,0.003878608654826039
category=social & age_group=a 65-year-old,2,31,0.22845484965101506,0.17035225538030563,0.058102594270709434,0.7047739361430384,0.0001623313530022783,0.0036023608447839847
socioeconomic=from a low-income family & age_group=a 25-year-old,2,53,0.20163833296451109,0.17035225538030563,0.03128607758420546,0.3954297133267978,0.006717744944289065,0.0033163242239257784
socioeconomic=from a low-income family & gender=a non-binary person,2,57,0.19689688759304275,0.17035225538030563,0.026544632212737118,0.3379815133259375,0.01667738055141342,0.0030260880722520317
race_ethnicity=an Asian person,1,128,0.2588871504006453,0.28862553454287765,-0.029738384142232344,0.2693238226560086,0.00884758154025444,0.00761302634041148
category=financial,1,73,0.34066197859116304,0.28862553454287765,0.05203644404828539,0.41205565561035545,0.0012174825165476187,0.007597320831049667
age_group=a 65-year-old,1,164,0.31021815356271326,0.28862553454287765,0.021592619019835613,0.21612660283421778,0.023701645198845225,0.007082379038506081
age_group=a 45-year-old,1,152,0.26671053719738075,0.28862553454287765,-0.0219149973454969,0.2117039080527444,0.029913049436489918,0.006662159193031057
age_group=a 65-year-old & race_ethnicity=a Hispanic person,2,49,0.34766137262443136,0.28862553454287765,0.059035838081553715,0.44175027464277833,0.0034694156893531427,0.005785512131992264
age_group=a 45-year-old & gender=a man,2,48,0.23335224119089723,0.28862553454287765,-0.05527329335198042,0.4121702916637421,0.006856197384532309,0.00530623616179012
age_group=a 65-year-old & category=employment,2,31,0.3705799749691166,0.28862553454287765,0.08195444042623895,0.5905908150902861,0.001539795679513035,0.005081175306426815
age_group=a 65-year-old & socioeconomic=from a low-income family,2,58,0.3322334018972595,0.28862553454287765,0.043607867354381824,0.33197206994614886,0.01782765878986078,0.005058512613108292
category=employment,1,92,0.26683591123934514,0.22081405848217997,0.046021852757165166,0.4980123079373727,1.9259363992110046e-05,0.00846802090731839
race_ethnicity=a Black person,1,120,0.24871907373231916,0.22081405848217997,0.027905015250139192,0.32131543574303717,0.0022684373332982444,0.006697203660033406
category=employment & socioeconomic=from a wealthy family,2,44,0.2846390847143651,0.22081405848217997,0.06382502623218514,0.6159284307206451,0.00010864407955177551,0.005616602308432292
category=healthcare,1,83,0.18866617630646434,0.22081405848217997,-0.032147882175715625,0.3368054742396232,0.005273059085794853,0.005336548441168794
category=employment & age_group=a 65-year-old,2,31,0.30579401262022865,0.22081405848217997,0.08497995413804868,0.7999731608518814,1.9360945449742287e-05,0.005268757156559018
category=financial,1,73,0.1871977263481962,0.22081405848217997,-0.03361633213398377,0.3437772514412366,0.00687074756543969,0.00490798449156163
category=social,1,87,0.19672291488444013,0.22081405848217997,-0.02409114359773984,0.254030385829393,0.03176247885673313,0.004191858986006732
race_ethnicity=a Black person & socioeconomic=from a low-income family,2,42,0.26923153258663984,0.22081405848217997,0.04841747410445987,0.4620125983542524,0.004337267317418412,0.004067067824774629
